name,description,source
AccessChk,"Get the security descriptor (SDDL) for an object (file, directory, reg key).",cmd
ADDUSERS,Add or list users to/from a CSV file,cmd
ADmodcmd,Active Directory Bulk Modify,cmd
ARP,Address Resolution Protocol,cmd
ASSOC,Change file extension associations •,cmd
ATTRIB,Change file attributes,cmd
BCDBOOT,Create or repair a system partition,cmd
BCDEDIT,Manage Boot Configuration Data,cmd
BITSADMIN,Background Intelligent Transfer Service,cmd
BOOTREC,Repair or replace a  partition boot sector,cmd
BREAK,"Do nothing, successfully •",cmd
BROWSTAT,"Get domain, browser and PDC info",cmd
CACLS,Change file permissions,cmd
CALL,Call one batch program from another •,cmd
CERTREQ,Request certificate from a certification authority,cmd
CERTUTIL,Manage certification authority (CA) files and services,cmd
CD,Change Directory - move to a specific Folder •,cmd
CHANGE,Change Terminal Server Session properties,cmd
CHANGEPK,Upgrade device Edition/Product Key,cmd
CHCP,Change the active console Code Page,cmd
CHDIR,Change Directory - move to a specific Folder •,cmd
CHKDSK,Check Disk - check and repair disk problems,cmd
CHKNTFS,Check the NTFS file system,cmd
CHOICE,Accept keyboard input to a batch file,cmd
CIPHER,"Encrypt or Decrypt files/folders, overwrite data.",cmd
CleanMgr,"Automated cleanup of Temp files, recycle bin",cmd
CLIP,Copy STDIN to the Windows clipboard,cmd
CLS,Clear the screen •,cmd
CMD,Start a new CMD shell,cmd
CMDKEY,Manage stored usernames/passwords,cmd
COLOR,Change colors of the CMD window •,cmd
COMP,Compare the contents of two files or sets of files,cmd
COMPACT,Compress files or folders on an NTFS partition,cmd
COMPRESS,Compress one or more files,cmd
CON,Console input,cmd
CONVERT,Convert a FAT drive to NTFS,cmd
COPY,Copy one or more files to another location •,cmd
Coreinfo,Show the mapping between logical & physical processors,cmd
CSCcmd,Client-side caching (Offline Files),cmd
CSVDE,Import or Export Active Directory data,cmd
CURL,Transfer data from or to a server,cmd
DATE,Display or set the date •,cmd
DEFRAG,Defragment hard drive,cmd
DEL,Delete one or more files •,cmd
DELPROF,Delete user profiles,cmd
DELTREE,Delete a folder and all subfolders,cmd
DevCon,Device Manager Command Line Utility,cmd
DIR,Display a list of files and folders •,cmd
DIRUSE,Display  directory sizes/usage,cmd
DISKPART,Disk Administration,cmd
DISKSHADOW,Volume Shadow Copy Service,cmd
DISKUSE,Show the space used in folders,cmd
DISM,Deployment Image Servicing and Management,cmd
DisplaySwitch,Specify which display to use and how to use it,cmd
DNSCMD,Manage DNS servers,cmd
DOSKEY,"Edit command line, recall commands, and create macros",cmd
DriverQuery,Display installed device drivers,cmd
DSACLs,Active Directory ACLs,cmd
DSAdd,Add items to Active Directory (user group computer),cmd
DSGet,View items in Active Directory (user group computer),cmd
DSQuery,Search Active Directory (user group computer),cmd
DSMod,Modify items in Active Directory (user group computer),cmd
DSMove,Move an Active Directory Object,cmd
DSRM,Remove items from Active Directory,cmd
DSREGCMD,Directory Service Registration,cmd
DU,Display  directory sizes/usage,cmd
ECHO,Display message on screen •,cmd
ENDLOCAL,End localisation of the environment in a batch file •,cmd
ERASE,Delete one or more files •,cmd
EVENTCREATE,Add a message to the Windows event log,cmd
EXIT,Quit the current script/routine and set an errorlevel •,cmd
EXPAND,Uncompress CAB files,cmd
EXPLORER,Open Windows Explorer,cmd
EXTRACT,Uncompress CAB files,cmd
FC,Compare two files,cmd
FIND,Search for a text string in a file,cmd
FINDSTR,Search for strings in files,cmd
FLTMC,Manage MiniFilter drivers,cmd
FONDUE,Features on Demand User Experience Tool,cmd
FOR /F,Loop command: against a set of files •,cmd
FOR /F,Loop command: against the results of another command •,cmd
FOR,"Loop command: all options Files, Directory, List •",cmd
FORFILES,Batch process multiple files,cmd
FORMAT,Format a disk,cmd
FREEDISK,Check free disk space,cmd
FSUTIL,File and Volume utilities,cmd
FTP,File Transfer Protocol,cmd
FTYPE,File extension file type associations •,cmd
GETMAC,Display the Media Access Control (MAC) address,cmd
GOTO,Direct a batch program to jump to a labelled line •,cmd
GPRESULT,Display Resultant Set of Policy information,cmd
GPUPDATE,Update Group Policy settings,cmd
HELP,Online Help,cmd
HOSTNAME,Display the host name of the computer,cmd
iCACLS,Change file and folder permissions,cmd
IEXPRESS,Create a self extracting ZIP file archive,cmd
IF,Conditionally perform a command •,cmd
IFMEMBER,Is the current user a member of a group,cmd
IPCONFIG,Configure IP,cmd
INUSE,Replace files that are in use by the OS,cmd
KLIST,List cached Kerberos tickets,cmd
LABEL,Edit a disk label,cmd
LGPO,Local Group Policy Object utility,cmd
LODCTR,Load PerfMon performance counters,cmd
LOGMAN,Manage Performance Monitor logs,cmd
LOGOFF,Log a user off,cmd
LOGTIME,Log the date and time in a file,cmd
MAKECAB,Create .CAB files,cmd
MAPISEND,Send email from the command line,cmd
Manage-BDE,BitLocker Drive Encryption,cmd
MBR2GPT,Convert a disk partition from  Master Boot Record to a GPT,cmd
MD,Create a new Directory •,cmd
MKLINK,Create a symbolic link (linkd) •,cmd
MODE,Configure a system device COM/LPT/CON,cmd
MORE,"Display output, one screen at a time",cmd
MOUNTVOL,Manage a volume mount point,cmd
MOVE,Move files from one folder to another •,cmd
MOVEUSER,Move a user from one domain to another,cmd
MSG,Send a message,cmd
MSIEXEC,Microsoft Windows Installer,cmd
MSINFO32,System Information,cmd
MSTSC,Terminal Server Connection/Remote Desktop Protocol(RDP),cmd
NET,Manage network resources,cmd
NETDOM,Domain Manager,cmd
NETSH,"Configure Network Interfaces, Firewall & Remote access",cmd
NBTSTAT,Display networking statistics (NetBIOS over TCP/IP),cmd
NETSTAT,Display networking statistics (TCP/IP),cmd
NLSINFO,Display locale information (reskit),cmd
NLTEST,Network Location Test (AD),cmd
NMBIND,Manage Hyper-V network bindings,cmd
NOW,Display the current Date and Time,cmd
NSLOOKUP,Name server lookup,cmd
NTBACKUP,Windows Backup folders to tape,cmd
NTDSUtil,Active Directory Domain Services management,cmd
NTRIGHTS,Edit user account rights,cmd
NVSPBIND,Modify network bindings,cmd
OPENFILES,Query or display open files,cmd
PATH,Display or set a search path for executable files •,cmd
PATHPING,Trace route plus network latency and packet loss,cmd
PAUSE,Suspend processing of a batch file •,cmd
PERMS,Show permissions for a user,cmd
PING,Test a network connection,cmd
PKTMON,Monitor internal packet propagation and packet drop reports,cmd
PNPUTIL,Plug and Play Utility,cmd
POPD,Return to a previous directory saved by PUSHD •,cmd
PORTQRY,Display the status of ports and services,cmd
POWERCFG,Configure power settings,cmd
PRINT,Print a text file,cmd
PRINTBRM,Print queue Backup/Recovery,cmd
PRNCNFG,Configure a printer,cmd
PRNDRVR,"Add, delete or list print drivers.",cmd
PRNJOBS,"Pause, resume, cancel, or list print jobs.",cmd
PRNMNGR,"Add, delete, or list printer connections.",cmd
PRNPORT,"Manage Printer Ports, change port configuration.",cmd
PRNQCTL,"Manage Print Queues, print a test page.",cmd
ProcDump,Monitor an application for CPU spikes,cmd
PROMPT,Change the command prompt •,cmd
PsExec,Execute process remotely,cmd
PsFile,Show files opened remotely,cmd
PsGetSid,Display the SID of a computer or a user,cmd
PsInfo,List information about a system,cmd
PsKill,Kill processes by name or process ID,cmd
PsList,List detailed information about processes,cmd
PsLoggedOn,Who's logged on (locally or via resource sharing),cmd
PsLogList,Event log records,cmd
PsPasswd,Change account password,cmd
PsPing,Measure network performance,cmd
PsService,View and control services,cmd
PsShutdown,Shutdown or reboot a computer,cmd
PsSuspend,Suspend processes,cmd
PUSHD,Save and then change the current directory •,cmd
QPROCESS,Query Process Display processes,cmd
QWinsta,Query Session Display all sessions (TS/Remote Desktop),cmd
QAppSrv,Query TermServer List all servers (TS/Remote Desktop),cmd
QUSER,Query User Display user sessions (TS/Remote Desktop),cmd
RASDIAL,Manage RAS connections,cmd
RASPHONE,Manage RAS connections,cmd
RD,Delete a Directory •,cmd
RECOVER,Recover a damaged file from a defective disk,cmd
REG,"Registry: Read, Set, Export, Delete keys and values",cmd
REGEDIT,Import or export registry settings,cmd
REGSVR32,Register or unregister a DLL,cmd
REGINI,Change Registry Permissions,cmd
REM,Record comments (remarks) in a batch file •,cmd
REN,Rename a file or files •,cmd
REPLACE,Replace or update one file with another,cmd
Reset Session,Delete a Remote Desktop Session,cmd
RMDIR,Delete a Directory •,cmd
RMTSHARE,Share a folder or a printer,cmd
ROBOCOPY,Robust File and Folder Copy,cmd
ROUTE,Manipulate network routing tables,cmd
RUN,Start | RUN commands,cmd
